,No,IP,EA,BG,smiles
61,C755,5.349486,2.9313333000000004,2.4181527,c1cc2c(cc1)c1cc3cc4cc5c(cc(c6ccccc56)C#N)cc4cc3cc1cc2
62,C81.7,4.8295029000000005,3.3139059,1.5155970000000003,c12c(c(c3c(c1)c1c(cc3)cccc1)C#N)cc1c(c2)cc2c(c1)cc1c(c2)cc2c(c1)cccc2
63,C7139,5.5745127,2.4494442000000003,3.1250685,c1cc2c(cc1)cc1c(ccc3c1ccc1c3cc3c(ccc4ccc(cc34)C#N)c1)c2
64,C745,5.340778800000001,2.7751479,2.5656309000000004,c1(cc2cc3c(cc2cc1)c1c(cc3)c2cc3cc4ccccc4cc3cc2cc1)C#N
65,C756,5.27874,2.8483428,2.4303972000000003,c1cc2c(cc1)c1cc3cc4cc5c(c(cc6ccccc56)C#N)cc4cc3cc1cc2
66,C8138,5.4917943000000005,2.5893036,2.9024907000000004,c1cc2cc3cc4c5cc(ccc5c5c(ccc6c5c5c(cccc5)cc6)c4cc3cc2cc1)C#N
67,C8151,5.1459552,3.2075148,1.9384404000000004,c1cc2c(cc1)c1cc3cc4cc5cc6c(cc5c(c4cc3cc1cc2)C#N)c1c(cccc1)cc6
68,C834,4.8863718,3.0564993,1.8298725,c1cc2c(cc1)cc1cc3cc4cc5c(ccc6c5ccc5c6cccc5C#N)cc4cc3cc1c2
69,C8101,5.7785877,2.66658,3.1120077,c1cc2c(cc1)c1c(cc3cc4c(cc3c1C#N)c1c(cccc1)c1c4cccc1)c1ccccc21
70,C71310,5.6112462,2.4703959,3.1408503,c1cc2c(cc1)cc1c(ccc3c1ccc1c3cc3c(ccc4cc(ccc34)C#N)c1)c2
71,C71.13,5.0697672,3.2113242,1.8584430000000003,c1cc2c(cc1C#N)cc1cc3cc4cc5c(ccc6c5cccc6)cc4cc3cc1c2
72,C8103,5.708385900000001,2.4548862,3.2534997000000003,c1cc2c(cc1)c1c(cc3cc4c(cc3c1)c1c(cccc1)c1c4cccc1)c1cc(ccc21)C#N
73,C852,5.139969000000001,3.1226196,2.0173494000000005,c1cc2c(cc1)c(c1cc3cc4c(ccc5c4c4cc6ccccc6cc4cc5)cc3cc1c2)C#N
74,C854,5.068950900000001,2.9601759,2.1087750000000005,c1cc2c(cc1)cc1cc3cc4c(ccc5c4c4cc6ccc(cc6cc4cc5)C#N)cc3cc1c2
75,C887,5.5157391,2.5770591,2.93868,c1cc2cc3c(cc2cc1)c1c(cc3)c2c(cc1)cc1c(c(cc3c1ccc1c3cccc1)C#N)c2
76,C71.8,5.090991,3.2700978,1.8208932,c12c(cc3c(c1)c1c(cc3)cccc1)c(c1c(c2)cc2c(c1)cc1c(c2)cccc1)C#N
77,C795,5.3633631,2.7117486,2.6516145000000004,c1cc2c(cc1)cc1cc3c(ccc4c3c3ccc(cc3c3c4cccc3)C#N)cc1c2
78,C8135,5.4371022,2.5139319,2.9231703,c1cc2cc3cc4c5ccccc5c5c(ccc6c5c5c(c(ccc5)C#N)cc6)c4cc3cc2cc1
79,C865,5.2060893,3.0061608,2.1999285000000004,c1ccc2cc3cc4c(ccc5c4c4cc6cc7ccccc7c(c6cc4cc5)C#N)cc3cc2c1
80,C7194,6.083067600000001,2.114217,3.9688506,c1cc2c(cc1C#N)c1c(c3c2cccc3)c2c(cc1)c1c(cccc1)c1c2cccc1
81,C7177,5.9744997,2.3180199,3.6564798,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1)c(c2)C#N
82,C728,5.2077219,2.8453497,2.3623722000000003,c1cc2cc3c(cc2cc1)c1cc2cc4cc5ccccc5cc4cc2cc1c(c3)C#N
83,C785,5.693420400000001,2.6437236,3.0496968000000004,c1cc2cc3c(cc2cc1)c1cc2cc4c(ccc5ccccc45)cc2cc1cc3C#N
84,C81.15,4.8175305,3.2858796000000003,1.5316509000000005,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)cc1c(c2)cc2c(c1)cccc2C#N
85,C8141,5.357649,2.9884743,2.3691747,c1cc2cc3cc4c(cc3cc2cc1)c1cc2cc3cc5c(ccc(c5)C#N)cc3cc2cc1cc4
86,C7145,5.637912,2.6097111,3.0282009000000003,c1cc2cc3c4ccccc4c4c5cc6c(ccc(c6)C#N)cc5ccc4c3cc2cc1
87,C789,5.6436261000000005,2.5944735000000003,3.0491526,c1cc2cc3c(cc2cc1)c1cc2cc4c(c(cc5ccccc45)C#N)cc2cc1cc3
88,C7105,5.7391332,2.5329789000000003,3.2061543,c1cc2cc3c(cc2cc1)c1cc2c(cc1cc3C#N)c1cc3c(cccc3)cc1cc2
89,C826,5.0436456000000005,3.1343199,1.9093257,c1cc2cc3c(cc2cc1)cc1cc2cc4c(cc(c5c4cc4ccccc4c5)C#N)cc2cc1c3
90,C71.18,5.0090889,3.1792164,1.8298725,c1cc2c(cc1)cc1cc3cc4c(c5c(ccc6c5cccc6)cc4cc3cc1c2)C#N
91,C751,5.3805054000000005,3.0203100000000003,2.3601954,c1cc2c(cc1)c1cc3c(c4cc5c(ccc6ccccc56)cc4cc3cc1cc2)C#N
92,C763,5.3742471,2.5199181,2.854329,c1cc2c(cc1)cc1cc3c(ccc4c3c(c3ccc5c(cccc5)c3c4)C#N)cc1c2
93,C893,5.0300406,3.1261569,1.9038837,c1cc2c(cc1)cc1cc3cc4cc5c(c(c4cc3cc1c2)C#N)c1c(cccc1)c1c5cccc1
94,C7141,5.570431200000001,2.5299858,3.0404454000000007,c1cc2cc3c4ccccc4c4c5cc6c(cccc6)cc5ccc4c3cc2cc1C#N
95,C885,5.539411800000001,2.4981501,3.0412617,c1cc2cc3c(cc2cc1)c1c(cc3)c2c(cc1)cc1c(ccc3c1ccc1c3ccc(c1)C#N)c2
