,No,IP,EA,BG,smiles
91,2N73_3,5.3916615,3.4597515000000003,1.93191,c1(N(=O)=O)cc2cc3c(cc2c(N(=O)=O)c1)c1cc2cc4cc5ccccc5cc4cc2cc1cc3
92,2N73_4,5.559819300000001,3.3294156,2.2304037000000005,c1c(N(=O)=O)c2cc3c(cc2cc1)c1cc2cc4cc5cccc(N(=O)=O)c5cc4cc2cc1cc3
93,2N73_5,5.6185929,3.3998895000000005,2.2187034000000003,c1(N(=O)=O)cc2cc3c(cc2cc1)c1cc2cc4cc5cccc(N(=O)=O)c5cc4cc2cc1cc3
94,2N73_6,5.6449866,3.3661491000000003,2.2788375000000003,c1(N(=O)=O)cc2cc3c(cc2cc1)c1cc2cc4c(N(=O)=O)c5ccccc5cc4cc2cc1cc3
95,2N73_7,5.6667546,3.4015221,2.2652325,c1(N(=O)=O)cc2cc3c(cc2cc1)c1cc2cc4cc5ccccc5cc4c(N(=O)=O)c2cc1cc3
96,2N73_8,5.6686593,3.4083246000000003,2.2603347,c1cc2c(N(=O)=O)c3c(cc2cc1)c1cc2cc4cc5cc(N(=O)=O)ccc5cc4cc2cc1cc3
97,2N73_9,5.7527382000000005,3.4809753,2.2717629,c1cc2cc3c(cc2cc1)c1cc2cc4cc5cc(N(=O)=O)c(N(=O)=O)cc5cc4cc2cc1cc3
98,2N77_1,5.5881177,3.2099637000000003,2.378154,c1cc2c(cc1)c1cc3cc4cc5c(ccc6c(N(=O)=O)cccc56)cc4cc3cc1c(N(=O)=O)c2
99,2N77_10,5.666210400000001,3.3370344000000003,2.3291760000000004,c1(N(=O)=O)cc2c(cc1)c1cc3cc4cc5c(ccc6ccc(N(=O)=O)cc56)cc4cc3cc1cc2
100,2N77_11,5.6463471,3.3890055,2.2573416,c1cc2c(cc1N(=O)=O)c1cc3cc4cc5c(ccc6ccccc56)cc4cc3c(N(=O)=O)c1cc2
